,t2m,tp,log_tp,snr,ssrd,skt,q
1997-01-01,298.983,6.786713,2.052419,7.751388,12.275768,298.5595,0.017137
1997-01-02,297.98373,21.710638,3.122833,6.742912,10.764228,297.76974,0.017404
1997-01-03,298.46304,25.51573,3.277738,7.689992,11.828094,298.16324,0.017295
1997-01-04,298.9663,5.91834,1.934176,9.302856,14.167317,299.17368,0.017357
1997-01-05,297.8703,17.153263,2.89885,6.954155,10.893864,298.11282,0.017285
1997-01-06,298.61884,7.656798,2.158345,10.096727,15.261916,298.51953,0.016751
1997-01-07,299.31567,4.302262,1.668134,12.587296,19.086983,299.46185,0.016887
1997-01-08,300.37552,0.765351,0.56835,13.095119,19.558466,299.7094,0.016629
1997-01-09,299.80447,3.906108,1.590481,13.453459,20.402925,299.4457,0.016893
1997-01-10,298.7842,7.778851,2.172346,8.655972,13.582172,298.5685,0.016833
1997-01-11,298.20337,8.059852,2.203853,9.31769,14.397008,298.05392,0.016767
1997-01-12,298.26797,8.281227,2.227994,9.21109,13.912963,298.12106,0.016881
1997-01-13,298.1631,7.85273,2.180726,9.208446,14.050908,298.25256,0.016942
1997-01-14,298.83603,8.635602,2.265465,10.602938,16.03798,298.4904,0.016948
1997-01-15,298.75122,10.635325,2.454046,10.592749,15.615353,298.58884,0.016774
1997-01-16,299.64664,10.642322,2.454647,11.875209,17.569576,299.11813,0.01693
1997-01-17,299.6528,3.281618,1.454331,11.557645,17.823612,299.34164,0.017224
1997-01-18,299.37143,11.61545,2.534922,10.085696,15.383802,299.1595,0.017239
1997-01-19,299.24615,3.441491,1.49099,11.357011,16.785715,299.0982,0.016851
1997-01-20,299.1619,3.930695,1.59548,13.133635,19.343037,299.39478,0.017175
1997-01-21,298.76312,7.412666,2.129738,9.51604,14.256481,298.3917,0.01716
1997-01-22,297.94568,10.542474,2.446034,6.585766,10.3023,298.05832,0.016972
1997-01-23,298.54083,1.14738,0.764248,9.588677,14.550129,298.9949,0.016695
1997-01-24,298.42136,4.610141,1.724576,6.538935,10.493547,298.21362,0.016632
1997-01-25,297.3881,10.00857,2.398674,6.411937,9.820392,297.1694,0.016632
1997-01-26,297.2718,19.79214,3.034575,6.281958,9.792874,297.34662,0.016959
1997-01-27,297.40182,22.741434,3.167222,6.075245,9.276909,297.20438,0.016786
1997-01-28,298.4648,7.239694,2.108963,11.771581,16.939903,297.91092,0.016493
1997-01-29,297.92926,18.321207,2.961203,8.714138,12.838263,297.63458,0.016673
1997-01-30,297.45874,18.362848,2.963356,6.323734,9.65617,297.21573,0.016765
1997-01-31,297.7338,6.092152,1.958989,9.704592,14.499352,298.06287,0.017221
1997-02-01,298.0161,9.454109,2.346995,8.071349,12.57448,297.89636,0.017103
1997-02-02,299.07922,4.129536,1.635015,12.16349,17.624035,298.671,0.016309
1997-02-03,299.18124,2.604403,1.282156,11.610023,17.715078,299.29706,0.016628
1997-02-04,298.52917,4.796592,1.75727,11.033113,16.773508,298.646,0.016636
1997-02-05,299.06262,5.712918,1.904034,11.755301,17.24403,298.2508,0.016457
1997-02-06,298.35526,9.486848,2.350122,9.114978,13.158176,298.01685,0.016246
1997-02-07,298.38562,1.677766,0.984983,11.863575,17.366234,298.22137,0.016532
1997-02-08,298.18634,10.161956,2.412511,13.167658,18.848995,298.67276,0.016519
1997-02-09,298.95667,4.27539,1.663053,12.744098,18.401869,298.60013,0.016287
1997-02-10,298.0949,4.985125,1.789277,8.855911,13.502352,297.83463,0.016163
1997-02-11,298.4517,4.194342,1.64757,11.110666,16.45285,298.29233,0.01639
1997-02-12,297.9295,12.009736,2.565698,10.993057,15.994985,298.2257,0.016126
1997-02-13,298.46536,2.504264,1.253981,13.145849,19.278315,298.79752,0.016299
1997-02-14,297.74536,9.837876,2.383047,10.59727,15.347772,298.0155,0.016398
