,t2m,tp,log_tp,snr,ssrd,skt,q
1997-01-01,296.29608,7.448673,2.134009,9.84294,14.551038,296.80795,0.015111
1997-01-02,297.6299,1.246069,0.809182,10.432389,15.993457,297.597,0.015408
1997-01-03,297.6295,4.808722,1.759361,6.967654,11.188213,296.9318,0.015293
1997-01-04,296.0445,11.815982,2.550693,2.898246,4.819105,295.72104,0.015391
1997-01-05,294.9633,7.830302,2.178189,5.707258,8.488224,295.22162,0.014711
1997-01-06,296.942,3.511451,1.506619,8.243367,12.695119,297.02094,0.015037
1997-01-07,297.35052,4.36698,1.680265,8.019278,12.362128,297.14816,0.015492
1997-01-08,297.23575,2.058109,1.117797,7.298228,11.44856,297.54297,0.015511
1997-01-09,296.26562,7.918458,2.188123,3.727107,5.985074,296.41104,0.015707
1997-01-10,295.0478,9.294556,2.331615,3.968722,6.520228,295.61813,0.015575
1997-01-11,295.54813,12.975041,2.637273,3.568452,6.088645,295.34927,0.015131
1997-01-12,297.23087,0.953987,0.669872,10.582787,16.623646,297.2761,0.015214
1997-01-13,297.21158,3.472553,1.497959,5.398172,8.36957,296.83514,0.015081
1997-01-14,295.9507,5.311386,1.842355,3.405426,5.606688,295.8424,0.0154
1997-01-15,294.95584,10.239468,2.419432,2.211092,4.115379,294.76355,0.014924
1997-01-16,296.76642,1.063253,0.724284,6.535158,10.444057,296.02313,0.014773
1997-01-17,296.6733,2.515426,1.257161,3.660063,6.767136,296.40765,0.015473
1997-01-18,296.20062,6.236568,1.979147,3.917046,6.589925,296.12445,0.015709
1997-01-19,295.71933,33.005566,3.526524,2.909434,4.999566,295.36865,0.015764
1997-01-20,296.93094,4.139638,1.636983,7.913689,12.266141,296.3777,0.015515
1997-01-21,297.71515,4.39456,1.685391,10.2006,16.048124,297.8588,0.01572
1997-01-22,296.21832,17.002695,2.890521,3.920439,6.884744,296.17188,0.016245
1997-01-23,295.9878,10.274478,2.422542,3.687891,6.256142,296.0115,0.016094
1997-01-24,297.1107,5.965736,1.941003,5.776927,9.237442,296.56165,0.015663
1997-01-25,296.40927,11.44011,2.520926,3.981724,6.194954,295.88812,0.015952
1997-01-26,295.52573,19.303946,3.010815,3.461312,5.609132,295.44418,0.015794
1997-01-27,296.57687,7.057747,2.086634,9.328654,13.870706,296.6211,0.015394
1997-01-28,296.5649,11.143832,2.496821,7.882782,12.25781,296.49185,0.015784
1997-01-29,296.83252,11.59794,2.533533,4.577461,7.653038,295.67535,0.016203
1997-01-30,296.0217,37.957554,3.662473,5.26607,8.624379,296.49142,0.015865
1997-01-31,296.62897,9.920733,2.390663,6.0447,10.024232,296.59402,0.015915
1997-02-01,296.6822,2.496578,1.251785,10.416488,16.49755,297.17355,0.016344
1997-02-02,297.0295,3.653722,1.537667,10.793157,16.407,297.50305,0.015729
1997-02-03,295.94925,5.925926,1.935272,3.649401,6.078012,296.06125,0.015938
1997-02-04,296.14645,31.789637,3.490113,4.384597,7.086708,295.95187,0.015754
1997-02-05,297.34592,6.006384,1.946822,9.629676,14.705528,297.3264,0.016077
1997-02-06,296.94376,8.253474,2.224999,7.309302,11.844357,296.72974,0.016021
1997-02-07,297.16556,8.974778,2.30006,8.077908,12.845882,296.86044,0.015381
1997-02-08,297.06204,5.285072,1.838177,8.448352,13.414185,297.4664,0.015675
1997-02-09,296.03574,101.451065,4.629385,7.359538,10.756789,296.3481,0.01609
1997-02-10,296.5279,10.44148,2.437245,8.557138,12.831229,297.08865,0.015979
1997-02-11,296.38785,22.07559,3.138775,4.929202,7.7564,296.26114,0.015733
