,t2m,tp,log_tp,snr,ssrd,skt,q
1997-01-01,298.15546,5.084603,1.805761,11.405441,16.028572,297.52927,0.016609
1997-01-02,298.1454,2.406862,1.225792,7.957658,11.77029,297.32333,0.016219
1997-01-03,299.0683,1.342994,0.85143,11.891093,16.725178,298.0482,0.015814
1997-01-04,299.55548,1.201547,0.78916,12.366488,18.074202,298.3369,0.01567
1997-01-05,299.11917,1.632241,0.967836,10.777799,15.934819,298.23734,0.016136
1997-01-06,297.65897,17.941225,2.941341,8.122154,11.945021,297.30957,0.016807
1997-01-07,297.34592,20.134645,3.050914,9.729545,14.455579,297.10883,0.016358
1997-01-08,298.10876,0.870201,0.626046,11.021564,16.836782,297.00247,0.015781
1997-01-09,298.0944,4.929056,1.779865,10.017492,14.717126,297.7435,0.016743
1997-01-10,297.55936,1.43554,0.890168,6.270244,10.514546,296.5669,0.016252
1997-01-11,298.71863,0.768731,0.570262,12.64975,18.893541,297.89133,0.015286
1997-01-12,298.79688,2.543993,1.265254,12.053311,17.744015,298.28314,0.015644
1997-01-13,297.69763,7.339484,2.121001,11.753573,17.307228,296.9599,0.01649
1997-01-14,297.89966,5.202806,1.825002,12.082162,17.071663,297.01825,0.016417
1997-01-15,298.72885,1.414443,0.881469,12.790265,18.614836,297.91217,0.016624
1997-01-16,298.39896,9.102133,2.312747,12.983168,18.71342,297.95273,0.016884
1997-01-17,298.60474,10.751264,2.463961,12.837781,18.649296,298.03995,0.016881
1997-01-18,298.63364,8.618369,2.263675,11.258523,16.291973,297.1552,0.017064
1997-01-19,297.76923,7.855096,2.180993,12.299255,17.935831,297.477,0.017488
1997-01-20,298.29086,8.646381,2.266583,10.548459,15.931911,297.3809,0.017335
1997-01-21,298.463,9.200046,2.322392,11.577613,17.133884,297.31952,0.017409
1997-01-22,299.57748,1.732225,1.005116,14.46306,20.860922,298.8445,0.017424
1997-01-23,298.71198,2.472374,1.244839,11.557246,17.46039,298.04922,0.017779
1997-01-24,300.0758,0.633736,0.490869,15.410837,22.857553,299.54788,0.017043
1997-01-25,299.74515,3.876899,1.58451,12.798104,18.610466,299.07382,0.016925
1997-01-26,298.29092,3.81686,1.572122,11.284314,16.16991,297.79718,0.016849
1997-01-27,298.13226,2.461576,1.241724,8.89064,13.350218,297.58383,0.016193
1997-01-28,298.08228,2.510506,1.25576,12.457457,18.538694,297.5607,0.015994
1997-01-29,298.629,0.934739,0.659972,11.817609,17.988705,297.8169,0.015938
1997-01-30,298.9991,1.14769,0.764393,11.379272,17.064894,298.06888,0.016757
1997-01-31,299.45233,3.875944,1.584314,13.944931,20.18569,299.19485,0.017325
1997-02-01,298.98907,2.706405,1.310062,6.79726,11.12984,298.2212,0.017868
1997-02-02,299.79126,1.352811,0.855611,13.584351,20.448334,298.96915,0.017903
1997-02-03,299.07727,7.566417,2.14785,10.619148,16.229727,298.8982,0.01764
1997-02-04,298.98987,2.315629,1.198647,9.393196,14.39507,298.62192,0.017555
1997-02-05,298.39352,5.520193,1.874904,12.224546,17.96213,298.06897,0.017503
