arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,esa_bias,esa_corr,esa_nse,esa_rmse,esa_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.589,0.071,0.204,-0.427,-154.309,0.023,-0.99,0.108,-1.619,-82.01,0.031,2.33,0.122,-1.845,2640.33,0.034,-0.371,0.277,-0.091,-134.924,0.02,SAmerica,299.061
3.09,-1.027,0.47,0.067,-47.882,0.018,-1.021,0.538,-0.049,-66.957,0.019,-1.437,0.461,-0.692,-64.486,0.024,-0.974,0.512,0.261,-42.6,0.016,SAmerica,298.78
2.835,1.136,0.768,-0.875,-197.305,0.025,1.886,0.704,-1.379,-279.216,0.029,-0.624,0.768,0.043,-1298.695,0.018,0.273,0.712,0.229,-126.52,0.016,SAmerica,300.24
2.482,-0.652,0.527,-0.356,-112.947,0.034,-0.83,0.508,-0.205,-68.613,0.032,-2.111,0.529,-0.127,294.425,0.03,-0.895,0.554,0.246,-84.197,0.025,SAmerica,300.291
3.187,9.288,0.535,-0.019,673.986,0.018,-0.758,0.573,-0.285,-115.056,0.021,-89.888,0.612,-0.723,15348.966,0.024,3.607,0.586,0.34,542.481,0.015,SAmerica,298.702
2.963,15.79,0.477,-0.508,476.55,0.022,-1.444,0.505,-0.137,-104.725,0.018,5.578,0.66,-2.097,-557.075,0.029,2.685,0.462,0.059,376.349,0.017,SAmerica,298.413
2.448,0.155,0.739,0.305,19.18,0.019,-0.577,0.603,0.174,18.675,0.021,-0.379,0.664,-0.398,24.227,0.029,-0.309,0.735,0.538,15.64,0.016,SAmerica,297.287
2.75,1.206,0.579,0.119,-90.348,0.018,0.593,0.457,-0.595,-144.797,0.024,-3.63,0.458,-2.036,450.8,0.034,0.373,0.619,0.375,-76.115,0.015,SAmerica,298.383
2.75,27.095,0.537,0.005,-742.829,0.02,-3.288,0.492,-0.486,48.744,0.025,37.248,0.529,-1.419,-1157.927,0.032,17.894,0.562,0.299,-623.345,0.017,SAmerica,298.383
2.639,1.2,0.638,0.161,72.15,0.021,-0.94,0.313,-0.343,10.546,0.03,0.994,0.611,-0.337,-178.052,0.026,-0.121,0.644,0.415,60.235,0.018,SAmerica,298.087
2.639,-0.283,0.662,0.407,-15.349,0.02,-1.302,0.263,-0.35,13.013,0.031,1.237,0.587,-0.085,-66.13,0.028,-0.671,0.628,0.378,-15.724,0.02,SAmerica,298.087
2.73,-3.272,0.48,-0.234,111.606,0.022,-1.319,0.286,-0.566,34.533,0.026,-0.574,0.357,-1.537,41.687,0.035,-1.232,0.457,0.166,91.74,0.018,SAmerica,297.987
3.294,4.391,0.486,-0.043,-99.798,0.021,0.309,0.344,-0.521,-41.044,0.025,2.079,0.361,-0.843,-132.669,0.028,3.062,0.53,0.279,-82.976,0.017,SAmerica,298.567
2.593,0.329,0.615,0.298,282.106,0.027,-1.042,0.608,0.216,171.653,0.028,5.581,0.566,0.203,-1059.713,0.027,-0.043,0.624,0.386,263.993,0.025,SAmerica,298.303
2.317,-0.287,0.52,-0.093,282.944,0.024,-4.537,0.481,-0.096,-1251.843,0.024,-0.572,0.458,-0.441,324.882,0.027,-0.406,0.527,0.236,236.521,0.02,SAmerica,296.995
3.221,-0.935,0.692,-1.106,-189.703,0.022,-0.782,0.6,-3.798,-131.436,0.033,-3.055,0.643,-1.382,384.382,0.023,-1.005,0.708,0.222,-115.292,0.014,SAmerica,297.112
2.877,16.36,0.469,-0.673,-368.594,0.049,-1.279,0.514,0.201,19.925,0.034,-2.511,0.722,-0.104,-49.066,0.039,9.269,0.384,0.081,-273.275,0.037,SAmerica,298.812
3.035,21.86,0.569,-0.326,749.888,0.024,-0.364,0.439,-0.303,65.408,0.024,2.162,0.449,-2.316,-310.317,0.04,14.669,0.529,0.242,567.067,0.018,SAmerica,298.901
2.297,0.509,0.609,0.235,94.519,0.028,-0.422,0.538,0.064,79.909,0.031,-0.395,0.571,-0.023,280.806,0.031,-0.086,0.595,0.354,86.893,0.026,SAmerica,296.088
3.482,-0.369,0.783,0.281,-42.286,0.019,-1.526,0.507,-1.259,109.414,0.033,-1.206,0.507,-0.219,-55.061,0.024,-0.085,0.799,0.578,-32.4,0.014,SAmerica,296.915
3.966,0.098,0.339,-5.473,-527.738,0.025,-0.52,0.181,-9.902,-1229.101,0.033,-1.14,0.344,-8.389,-635.575,0.03,-0.595,0.421,-1.622,-335.841,0.016,SAmerica,299.686
3.632,-1.87,0.409,-0.874,-104.632,0.032,-1.206,0.27,-1.242,-193.929,0.035,-1.242,0.357,-0.666,-98.651,0.03,-1.392,0.468,0.081,-73.255,0.022,SAmerica,300.391
2.679,-0.56,0.585,0.212,-37.698,0.02,-0.478,0.503,-0.085,-59.195,0.024,-0.124,0.542,-1.337,-127.673,0.034,-0.818,0.572,0.322,-34.982,0.019,SAmerica,298.598
3.038,-0.867,0.605,-2.59,-67.735,0.018,-0.689,0.405,-4.626,-50.13,0.023,-0.757,0.477,-7.28,-102.873,0.028,-0.915,0.587,-0.545,-44.439,0.012,SAmerica,299.029
2.34,-2.686,0.59,-0.185,359.92,0.023,0.254,0.531,-0.251,241.461,0.024,1.072,0.566,-0.314,379.1,0.025,-1.251,0.626,0.369,262.741,0.017,SAmerica,297.79
3.863,1.476,0.734,0.003,-493.98,0.02,-1.162,0.527,-0.825,215.558,0.026,1.748,0.539,-0.621,-634.535,0.024,2.898,0.781,0.603,-311.562,0.012,SAmerica,296.475
3.566,17.141,0.469,-2.854,2354.601,0.03,-1.844,0.359,-6.453,-540.171,0.042,-2.656,0.406,-3.356,484.14,0.033,8.562,0.549,-0.351,1394.134,0.018,SAmerica,298.551
3.836,0.572,0.567,-1.655,-192.352,0.025,0.079,0.326,-3.877,-299.301,0.034,0.627,0.385,-3.041,-237.296,0.031,0.124,0.632,0.084,-112.976,0.015,SAmerica,298.576
3.353,1.712,0.925,-0.023,-8.249,0.024,1.135,0.733,-0.179,-10.216,0.027,1.368,0.865,-1.363,-12.539,0.037,1.139,0.859,0.653,-4.808,0.014,SAmerica,300.349
2.844,-0.642,0.659,0.242,21.45,0.02,-0.575,0.587,-0.065,44.428,0.024,-0.573,0.564,-0.817,33.21,0.031,-0.928,0.665,0.441,18.414,0.017,SAmerica,298.822
2.959,1852.214,0.357,-2.64,1662808.136,0.025,-0.244,0.375,-3.682,-455.262,0.027,3692.5,0.349,-4.173,1982232.3,0.029,-403.071,0.387,-0.499,1067082.365,0.016,SAmerica,298.921
2.783,13.656,0.605,0.151,-1669.381,0.022,-0.494,0.475,-0.205,-757.828,0.026,2.296,0.473,-0.233,-2012.06,0.026,2.462,0.621,0.385,-1421.302,0.018,SAmerica,298.806
2.129,-1.51,0.652,-0.029,137.964,0.025,1.411,0.553,-0.277,1584.163,0.028,1.125,0.608,-0.318,-309.795,0.028,-1.171,0.657,0.419,103.678,0.019,SAmerica,296.383
2.129,0.367,0.601,-0.474,-70.029,0.023,0.15,0.53,-0.955,-85.771,0.027,0.351,0.575,-1.263,-86.768,0.029,-0.091,0.593,0.263,-49.507,0.016,SAmerica,296.383
3.713,-4.752,0.715,-0.456,-198.789,0.023,-1.277,0.514,-1.369,-108.589,0.029,-1.936,0.509,-1.182,140.249,0.025,-2.661,0.749,0.494,-117.225,0.014,SAmerica,296.314
3.367,-39.014,0.646,-0.325,-4634.531,0.026,-1.079,0.455,-2.167,-132.353,0.04,0.242,0.458,-1.111,-317.041,0.031,-18.332,0.716,0.454,-2975.349,0.017,SAmerica,297.422
3.696,-1.513,0.624,-1.023,-241.537,0.026,-0.527,0.539,-2.446,-215.607,0.034,-0.376,0.565,-1.195,-217.014,0.027,-0.965,0.644,0.178,-153.989,0.017,SAmerica,297.12
2.485,-0.173,0.661,-1.443,-1328.993,0.029,-1.618,0.415,-4.375,-349.826,0.043,-3.161,0.584,-1.128,-1240.307,0.027,-0.774,0.713,0.003,-849.042,0.019,SAmerica,298.205
2.708,3.635,0.629,0.18,-86.484,0.02,3.435,0.544,-0.22,-201.881,0.025,-3.629,0.667,-0.655,243.935,0.03,0.7,0.596,0.35,-77.012,0.018,SAmerica,298.597
2.708,7.947,0.608,-0.507,1367.101,0.021,0.949,0.428,-1.197,491.726,0.025,-6.064,0.451,-2.906,3159.098,0.033,0.119,0.577,0.244,967.892,0.015,SAmerica,298.597
2.883,-9.209,0.611,-0.887,-493.306,0.024,5.908,0.567,-0.443,-303.019,0.021,-0.813,0.566,-0.694,-467.451,0.023,-6.251,0.579,0.187,-323.906,0.016,SAmerica,298.917
2.666,0.084,0.735,0.092,112.519,0.024,-1.516,0.576,-0.1,385.734,0.026,2.447,0.614,-0.113,-310.743,0.026,-0.603,0.708,0.495,83.861,0.018,SAmerica,298.691
2.401,-6.552,0.684,-0.12,1507.548,0.021,-0.696,0.437,-0.661,185.726,0.026,8.202,0.537,-0.779,1899.554,0.027,-2.4,0.75,0.532,974.577,0.014,SAmerica,298.119
2.27,-1.196,0.655,-0.067,-136.47,0.021,-1.097,0.637,-0.11,-87.28,0.021,-1.666,0.735,-0.249,-147.659,0.023,-0.583,0.657,0.415,-101.082,0.015,SAmerica,297.564
