arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.589,-17.658,0.13,-0.329,-1804.753,0.017,-12.769,0.114,-0.507,-1921.749,0.018,-11.018,0.333,-0.025,-1584.634,0.015,SAmerica,299.061
2.784,1.401,0.198,-1.224,74.033,0.015,-1.199,0.259,-1.941,-100.515,0.013,0.873,0.198,-0.219,54.814,0.011,SAmerica,299.026
2.835,0.534,0.667,-0.376,-14.741,0.016,-0.01,0.44,-0.022,-12.702,0.013,-0.035,0.603,0.165,-11.486,0.012,SAmerica,300.24
2.482,-0.489,0.559,0.05,-32.376,0.026,-0.372,0.83,0.617,-20.564,0.016,-0.15,0.636,0.388,-25.98,0.021,SAmerica,300.291
3.187,-0.33,0.657,0.291,-98.05,0.008,1.982,0.643,0.347,-94.087,0.008,-0.201,0.558,0.311,-96.633,0.008,SAmerica,298.702
2.963,4.552,0.5,-0.084,118.326,0.015,11.551,0.749,-0.047,-545.306,0.013,0.065,0.676,0.429,85.866,0.011,SAmerica,298.413
2.448,-0.415,0.723,0.472,11.888,0.014,-0.307,0.568,0.156,12.591,0.018,-0.62,0.743,0.497,11.602,0.014,SAmerica,297.287
2.75,0.96,0.382,0.004,-85.639,0.015,-2.107,0.421,-0.238,219.734,0.016,0.085,0.536,0.281,-72.735,0.012,SAmerica,298.383
2.75,2.335,0.495,0.24,-1613.424,0.021,2.821,0.675,0.454,-456.914,0.018,7.47,0.578,0.24,-1613.894,0.021,SAmerica,298.383
2.639,-0.318,0.718,0.472,-15.759,0.016,1.404,0.548,0.274,-85.744,0.021,-0.811,0.641,0.342,-17.591,0.018,SAmerica,298.087
2.73,-1.914,0.524,0.213,41.911,0.015,-0.348,0.465,0.115,24.737,0.017,-0.994,0.561,0.308,39.304,0.014,SAmerica,297.987
3.066,-0.969,0.554,0.298,-113.806,0.017,0.431,0.639,0.406,-274.145,0.016,-0.035,0.612,0.354,-109.13,0.016,SAmerica,298.282
3.294,0.551,0.216,-0.068,-44.604,0.013,0.297,0.368,0.136,-40.138,0.012,0.735,0.441,0.193,-38.788,0.011,SAmerica,298.567
2.593,-0.538,0.639,0.145,-15.904,0.015,-0.914,0.659,0.431,-12.976,0.013,-0.839,0.748,0.549,-11.55,0.011,SAmerica,298.303
2.317,0.027,0.518,0.122,-57.718,0.019,2.836,0.524,0.245,-712.63,0.017,-0.185,0.534,0.252,-53.284,0.018,SAmerica,296.995
3.221,-0.423,0.824,-0.024,-163.04,0.01,-0.667,0.591,0.262,-138.433,0.008,0.759,0.833,0.61,-100.678,0.006,SAmerica,297.112
2.877,-1.042,0.287,0.0,59.486,0.032,0.847,0.454,0.189,-115.31,0.031,-1.373,0.314,0.098,56.516,0.03,SAmerica,298.812
2.297,2.498,0.522,0.212,489.095,0.024,3.99,0.693,0.43,415.851,0.02,4.453,0.525,0.275,469.193,0.023,SAmerica,296.088
3.482,-1.462,0.883,0.556,-36.588,0.012,-1.119,0.778,0.599,-34.765,0.012,-0.87,0.851,0.717,-29.214,0.01,SAmerica,296.915
3.966,-0.701,0.489,-3.472,-189.151,0.014,-0.988,0.327,-1.916,-152.745,0.011,-1.219,0.505,-0.8,-120.006,0.009,SAmerica,299.686
3.632,8.39,0.291,-0.355,1142.915,0.022,-2.846,0.325,0.005,979.101,0.019,-6.691,0.383,0.089,937.247,0.018,SAmerica,300.391
2.679,-0.843,0.412,0.134,-52.012,0.018,-1.068,0.625,0.385,-43.812,0.015,-0.858,0.483,0.233,-48.948,0.017,SAmerica,298.598
3.038,-1.028,0.51,-0.878,-84.201,0.011,-0.0,0.637,0.028,-60.574,0.008,-1.136,0.496,0.03,-60.519,0.008,SAmerica,299.029
2.34,0.232,0.488,0.112,-127.7,0.016,-1.413,0.635,0.376,-107.08,0.014,-0.867,0.573,0.325,-111.377,0.014,SAmerica,297.79
3.863,-3.129,0.718,0.154,411.966,0.013,-1.657,0.721,0.491,133.469,0.01,-4.685,0.753,0.567,294.84,0.009,SAmerica,296.475
