arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,esa_bias,esa_corr,esa_nse,esa_rmse,esa_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.589,8.702,0.513,-74.836,8.803,0.048,2.394,0.41,-7.933,2.965,0.063,6.076,0.468,-38.508,6.356,0.068,5.661,0.518,-31.641,5.775,0.041,SAmerica,299.061
3.09,1.012,0.61,-6.755,1.078,0.028,1.069,0.55,-7.615,1.143,0.031,1.602,0.558,-17.636,1.671,0.036,1.392,0.571,-12.662,1.43,0.025,SAmerica,298.78
2.835,1.651,0.83,-4.827,1.805,0.041,1.676,0.834,-4.995,1.833,0.042,3.63,0.851,-21.769,3.685,0.035,1.818,0.759,-5.571,1.917,0.034,SAmerica,300.24
2.482,1.969,0.648,-2.155,2.24,0.059,2.126,0.662,-2.568,2.39,0.06,2.997,0.72,-4.989,3.171,0.057,1.819,0.668,-1.661,2.058,0.053,SAmerica,300.291
3.187,1.217,0.702,-6.898,1.281,0.03,1.232,0.749,-6.928,1.28,0.026,2.084,0.74,-20.169,2.132,0.034,1.425,0.735,-9.243,1.458,0.023,SAmerica,298.702
2.963,1.995,0.4,-8.893,2.261,0.036,2.021,0.566,-7.994,2.133,0.023,3.892,0.652,-34.455,4.191,0.052,3.427,0.463,-23.016,3.522,0.027,SAmerica,298.413
2.448,0.735,0.788,-1.735,0.846,0.029,0.587,0.736,-0.81,0.689,0.025,1.498,0.529,-12.273,1.699,0.06,0.806,0.802,-1.843,0.863,0.021,SAmerica,297.287
2.75,0.29,0.466,0.041,0.773,0.054,0.843,0.429,-1.064,1.135,0.057,1.293,0.34,-2.993,1.61,0.07,0.772,0.488,-0.72,1.035,0.052,SAmerica,298.383
2.75,0.304,0.548,0.05,0.68,0.044,0.933,0.605,-1.455,1.097,0.042,1.405,0.552,-4.187,1.589,0.054,0.788,0.614,-0.897,0.961,0.04,SAmerica,298.383
2.639,0.036,0.563,0.107,0.378,0.039,-0.011,0.411,0.112,0.363,0.04,0.806,0.498,-7.104,0.983,0.063,0.13,0.615,0.273,0.341,0.033,SAmerica,298.087
2.639,1.315,0.708,-1.615,1.488,0.033,1.058,0.5,-1.352,1.294,0.039,2.749,0.733,-7.668,2.913,0.046,1.457,0.747,-1.975,1.587,0.03,SAmerica,298.087
