arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.589,5.368,0.313,-100.521,5.444,0.049,3.516,0.181,-48.049,3.784,0.076,5.014,0.505,-86.071,5.042,0.028,SAmerica,299.061
2.784,1.49,0.439,-62.893,1.515,0.029,1.241,0.417,-59.6,1.274,0.03,1.621,0.556,-73.171,1.632,0.02,SAmerica,299.026
2.835,0.484,0.827,-3.267,0.636,0.041,1.411,0.7,-21.286,1.454,0.035,0.556,0.803,-3.1,0.624,0.028,SAmerica,300.24
2.482,1.269,0.658,-0.665,1.566,0.067,1.548,0.935,-0.898,1.672,0.046,1.081,0.76,-0.289,1.377,0.063,SAmerica,300.291
3.187,8.435,0.657,-58.259,8.495,0.018,11.748,0.8,-113.189,11.793,0.018,9.023,0.739,-66.313,9.054,0.013,SAmerica,298.702
2.963,0.584,0.492,-2.571,0.75,0.028,1.973,0.615,-35.24,2.113,0.042,1.132,0.691,-7.662,1.168,0.017,SAmerica,298.413
2.448,0.453,0.675,-1.048,0.588,0.029,1.233,0.58,-11.171,1.353,0.045,0.449,0.795,-0.587,0.518,0.02,SAmerica,297.287
2.75,0.828,0.432,-0.814,1.149,0.042,2.198,0.289,-6.933,2.447,0.057,1.132,0.563,-1.466,1.339,0.038,SAmerica,298.383
2.75,-0.086,0.134,-0.162,0.506,0.05,0.832,0.583,-2.97,0.963,0.049,0.093,0.434,0.14,0.435,0.043,SAmerica,298.383
2.639,3.495,0.594,-5.678,3.716,0.03,5.812,0.595,-17.215,6.038,0.043,3.751,0.692,-6.341,3.896,0.025,SAmerica,298.087
2.73,1.992,0.381,-7.217,2.22,0.034,3.855,0.61,-30.648,3.98,0.039,2.332,0.709,-8.582,2.398,0.019,SAmerica,297.987
3.066,2.634,0.667,-19.632,2.672,0.031,1.235,0.563,-4.364,1.358,0.039,0.869,0.663,-1.742,0.974,0.03,SAmerica,298.282
3.294,5.768,0.444,-146.012,5.792,0.025,3.322,0.64,-47.965,3.343,0.018,5.717,0.674,-142.775,5.728,0.017,SAmerica,298.567
2.593,1.876,0.702,-38.491,1.908,0.04,1.023,0.354,-12.332,1.109,0.049,1.877,0.747,-37.791,1.891,0.026,SAmerica,298.303
2.317,2.188,0.583,-34.78,2.215,0.037,1.213,0.576,-11.092,1.27,0.039,2.318,0.708,-38.671,2.333,0.028,SAmerica,296.995
3.221,0.539,0.775,-6.221,0.587,0.032,0.203,0.675,-0.563,0.273,0.025,0.498,0.664,-4.969,0.534,0.026,SAmerica,297.112
2.877,1.885,0.422,-3.196,2.134,0.043,3.129,0.501,-9.749,3.287,0.048,1.673,0.658,-2.196,1.862,0.035,SAmerica,298.812
2.297,6.103,0.505,-49.859,6.162,0.043,3.354,0.681,-14.637,3.417,0.033,5.976,0.586,-47.496,6.017,0.036,SAmerica,296.088
3.482,1.558,0.893,-13.477,1.602,0.031,1.751,0.764,-17.47,1.81,0.038,2.087,0.908,-23.795,2.097,0.017,SAmerica,296.915
3.966,0.469,0.807,-12.531,0.486,0.025,0.043,0.813,-0.008,0.133,0.024,0.507,0.829,-14.132,0.514,0.017,SAmerica,299.686
3.632,1.763,0.511,-6.616,1.909,0.046,2.661,0.613,-14.591,2.732,0.038,2.66,0.488,-14.654,2.737,0.04,SAmerica,300.391
2.679,0.22,0.371,-0.294,0.47,0.04,0.634,0.559,-2.117,0.729,0.035,0.324,0.502,-0.365,0.483,0.035,SAmerica,298.598
3.038,12.677,0.525,-90.595,12.89,0.025,20.296,0.693,-229.773,20.461,0.028,15.624,0.57,-134.944,15.704,0.017,SAmerica,299.029
2.34,6.537,0.604,-78.632,6.574,0.031,3.932,0.607,-28.722,4.016,0.037,6.376,0.681,-74.449,6.399,0.024,SAmerica,297.79
3.863,5.862,0.735,-47.588,5.916,0.026,6.481,0.753,-52.426,6.546,0.028,5.965,0.806,-48.773,5.988,0.017,SAmerica,296.475
3.566,0.389,0.667,-12.779,0.408,0.028,-0.073,0.733,-0.83,0.155,0.031,0.294,0.686,-6.98,0.311,0.023,SAmerica,298.551
3.836,1.724,0.54,-72.006,1.744,0.028,1.016,0.44,-26.647,1.073,0.036,1.723,0.681,-71.249,1.735,0.021,SAmerica,298.576
3.353,2.38,0.829,-6.025,2.501,0.044,3.088,0.854,-10.106,3.145,0.034,3.268,0.837,-11.31,3.311,0.03,SAmerica,300.349
2.844,2.066,0.459,-21.55,2.149,0.032,3.146,0.383,-49.113,3.204,0.033,3.336,0.403,-54.347,3.367,0.025,SAmerica,298.822
2.959,41.835,0.616,-289.994,41.953,0.023,29.564,0.569,-147.946,30.015,0.038,42.364,0.639,-296.596,42.426,0.017,SAmerica,298.921
2.783,1.218,0.764,-25.259,1.231,0.025,0.519,0.506,-4.995,0.588,0.039,1.216,0.778,-25.026,1.226,0.022,SAmerica,298.806
