,soilm
89.875,-9999
89.625,-9999
89.375,-9999
89.125,-9999
88.875,-9999
88.625,-9999
88.375,-9999
88.125,-9999
87.875,-9999
87.625,-9999
87.375,-9999
87.125,-9999
86.875,-9999
86.625,-9999
86.375,-9999
86.125,-9999
85.875,-9999
85.625,-9999
85.375,-9999
85.125,-9999
84.875,-9999
84.625,-9999
84.375,-9999
84.125,-9999
83.875,-9999
83.625,-9999
83.375,-9999
83.125,-9999
82.875,-9999
82.625,-9999
82.375,-9999
82.125,-9999
81.875,-9999
81.625,-9999
81.375,-9999
81.125,-9999
80.875,-9999
80.625,-9999
80.375,-9999
80.125,-9999
79.875,-9999
79.625,-9999
79.375,-9999
79.125,-9999
78.875,-9999
78.625,-9999
78.375,-9999
78.125,-9999
77.875,-9999
77.625,-9999
77.375,-9999
77.125,-9999
76.875,-9999
76.625,-9999
76.375,-9999
76.125,-9999
75.875,-9999
75.625,-9999
75.375,-9999
75.125,-9999
74.875,-9999
74.625,-9999
74.375,-9999
74.125,-9999
73.875,-9999
73.625,-9999
73.375,-9999
73.125,-9999
72.875,-9999
72.625,-9999
72.375,-9999
72.125,-9999
71.875,-9999
71.625,-9999
71.375,-9999
71.125,-9999
70.875,-9999
70.625,-9999
70.375,-9999
70.125,-9999
69.875,-9999
69.625,-9999
69.375,-9999
69.125,-9999
68.875,-9999
68.625,-9999
68.375,-9999
68.125,-9999
67.875,-9999
67.625,-9999
67.375,0.299833335
67.125,-9999
66.875,0.19
66.625,-9999
66.375,-9999
66.125,-9999
65.875,-9999
65.625,-9999
65.375,-9999
65.125,-9999
64.875,0.19916875
64.625,0.17383333499999998
64.375,-9999
64.125,-9999
63.875,-9999
63.625,-9999
63.375,-9999
63.125,-9999
62.875,-9999
62.625,-9999
62.375,-9999
62.125,0.36693980000000004
61.875,-9999
61.625,-9999
61.375,0.12
61.125,-9999
60.875,-9999
60.625,0.24
60.375,-9999
60.125,-9999
59.875,0.37458333
59.625,0.2644506325
59.375,0.39
59.125,0.56416667
58.875,-9999
58.625,-9999
58.375,-9999
58.125,-9999
57.875,-9999
57.625,-9999
57.375,-9999
57.125,-9999
56.875,-9999
56.625,-9999
56.375,-9999
56.125,-9999
55.875,-9999
55.625,-9999
55.375,-9999
55.125,-9999
54.875,-9999
54.625,-9999
54.375,-9999
54.125,-9999
53.875,-9999
53.625,-9999
53.375,-9999
53.125,-9999
52.875,-9999
52.625,-9999
52.375,-9999
52.125,0.19316250000000001
51.875,-9999
51.625,-9999
51.375,-9999
51.125,0.224814585
50.875,0.3320178575
